rank,story,url,index,pos,neg,neu,comp,source,date,hour
1,Tributes to three killed in crash after night out,https://www.bbc.co.uk/news/uk-wales-64867187,0,0.113,0.09699999999999999,0.79,0.9825,BBC,2023-03-06,18
2,Football fan dies after post-match brawl at pub,https://www.bbc.co.uk/news/uk-england-lancashire-64861231,1,0.12300000000000001,0.157,0.72,-0.9387,BBC,2023-03-06,18
3,Wagner boss suggests 'betrayal' in Bakhmut battle,https://www.bbc.co.uk/news/world-europe-64859780,2,0.085,0.128,0.787,-0.9905,BBC,2023-03-06,18
4,"Bronson would not cope with release, panel told",https://www.bbc.co.uk/news/uk-england-beds-bucks-herts-64861518,3,0.071,0.125,0.804,-0.9941,BBC,2023-03-06,18
5,Snow and ice warnings extended to more parts of UK,https://www.bbc.co.uk/news/uk-64848688,4,0.035,0.063,0.902,-0.8784,BBC,2023-03-06,18
6,Iran suspected poisonings unforgivable - Khamenei,https://www.bbc.co.uk/news/world-middle-east-64862714,5,0.039,0.22399999999999998,0.737,-0.9988,BBC,2023-03-06,18
7,Twitter links and posting images down,https://www.bbc.co.uk/news/technology-64863450,6,0.0,0.18,0.82,-0.9442,BBC,2023-03-06,18
8,China's new human gene-editing rules worry experts,https://www.bbc.co.uk/news/science-environment-64857311,7,0.05,0.063,0.8859999999999999,-0.9286,BBC,2023-03-06,18
9,GB News host's Covid jab claims broke Ofcom rules,https://www.bbc.co.uk/news/entertainment-arts-64862979,8,0.08199999999999999,0.061,0.856,0.8533,BBC,2023-03-06,18
10,Outrage as hundreds of new trainers found in skip,https://www.bbc.co.uk/news/uk-england-cumbria-64855222,9,0.025,0.07,0.905,-0.9452,BBC,2023-03-06,18
1,"Pictured: Three victims of horror Cardiff crash including 21-year-old beautician, son of ex-QPR footballer and star of Sky reality show - as two fight for their lives
",https://www.dailymail.co.uk/news/article-11825387/Pictured-Scene-three-young-revellers-died-two-left-fighting-lives.html,0,0.085,0.131,0.784,-0.9985,Daily Mail,2023-03-06,18
2,"Three bodies are found in hunt for three women and two men who went missing after night out - while two are taken to hospital with serious injuries: Police say car they were traveling in was involved in accident 
",https://www.dailymail.co.uk/news/article-11823191/Three-women-aged-20-two-men-missing-second-day-night-bar-Newport.html,1,0.037000000000000005,0.086,0.877,-0.9916,Daily Mail,2023-03-06,18
3,"Three people are found dead in hunt for five missing for 48 hours in South Wales after 'car crash': Two are rushed to hospital with serious injuries after police launched hunt for three women and two men who disappeared following night out 
",https://www.dailymail.co.uk/news/article-11824991/Three-people-dead-hunt-five-missing-people-South-Wales-car-crash.html,2,0.043,0.094,0.863,-0.9957,Daily Mail,2023-03-06,18
4,"Duke and Duchess of Sussex have an 'acute dilemma' over Charles' coronation: Despite still wanting an apology and being evicted from Frogmore Cottage, Harry and Meghan 'won't dare stay away' because it will make them appear irrelevant' expert warns 
",https://www.dailymail.co.uk/news/article-11822917/Charles-spotted-time-emerged-Harry-Meghan-invited-Coronation.html,3,0.063,0.08,0.857,-0.986,Daily Mail,2023-03-06,18
5,"EXCLUSIVE 'I cheated death': Neil 'Razor' Ruddock sheds seven stone after being inspired to have gastric sleeve surgery by James Argent when his weight ballooned to 27 stone
",https://www.dailymail.co.uk/tvshowbiz/article-11825593/Neil-Ruddock-sheds-seven-stone-inspired-gastric-sleeve-surgery-James-Argent.html,4,0.092,0.066,0.841,0.953,Daily Mail,2023-03-06,18
6,"Sam Fox is left devastated as her younger sister Vanessa dies aged just 50 after being rushed to hospital following a heart attack
",https://www.dailymail.co.uk/tvshowbiz/article-11823365/Sam-Foxs-left-devastated-younger-sister-Vanessa-dies-aged-just-50.html,5,0.134,0.129,0.737,0.9482,Daily Mail,2023-03-06,18
7,"Charles' olive branch to Harry: King tells his son that he and Meghan 'can use Frogmore Cottage during the Coronation - if they accept his invitation to attend'
",https://www.dailymail.co.uk/news/article-11823801/Prince-told-Meghan-use-Frogmore-Cottage-accept-invitation-Kings-Coronation.html,6,0.062,0.084,0.855,-0.9656,Daily Mail,2023-03-06,18
8,"'It was safe and I don't like change': Christine McGuinness stayed in her marriage with ex Paddy as her autism and previous abusive partners left her craving security
",https://www.dailymail.co.uk/tvshowbiz/article-11823655/Christine-McGuinness-reveals-stayed-unhappy-marriage.html,7,0.13699999999999998,0.084,0.779,0.9965,Daily Mail,2023-03-06,18
9,"'He is the rudest man I've ever had to interview - I didn't smack him though': Richard Madeley slams Chris Rock's behaviour as Susanna Reid calls him a 'thoroughly unpleasant piece of work' 
",https://www.dailymail.co.uk/tvshowbiz/article-11826133/Richard-Madeley-slams-Chris-Rocks-behaviour.html,8,0.157,0.09300000000000001,0.75,0.9962,Daily Mail,2023-03-06,18
10,"'Britain's most violent prisoner' Charles Bronson tells parole board he 'greased up with Lurpak' before jail fight, won £1,500 on a bet and tells panel, 'There's nothing better than wrapping a governor up like a Christmas turkey' 
",https://www.dailymail.co.uk/news/article-11825065/Notorious-prisoner-Charles-Bronson-make-latest-bid-freedom-parole-hearing-today.html,9,0.071,0.159,0.7709999999999999,-0.9999,Daily Mail,2023-03-06,18
1,Cabinet Office minister casts doubt on whether Sue Gray followed proper process over job with Starmer – UK politics live,https://www.theguardian.com/politics/live/2023/mar/06/rishi-sunak-asylum-plan-small-boats-crossings-boris-stanley-johnson-live,0,0.09300000000000001,0.055,0.852,0.9952,Guardian,2023-03-06,18
2,Cardiff car crash: police criticised after wreck went unseen for up to 46 hours,https://www.theguardian.com/uk-news/2023/mar/06/wales-car-crash-a48-three-people-found-dead-st-mellons-cardiff,1,0.10300000000000001,0.109,0.7879999999999999,-0.35600000000000004,Guardian,2023-03-06,18
3,"Sheffield city council behaved dishonestly in street trees row, inquiry finds ",https://www.theguardian.com/uk-news/2023/mar/06/sheffield-city-council-behaved-dishonestly-in-street-trees-row-inquiry-finds,2,0.096,0.152,0.752,-0.9961,Guardian,2023-03-06,18
4,I thought my opinion of Boris Johnson couldn’t be lower. Then he nominated his father for a knighthood,https://www.theguardian.com/commentisfree/2023/mar/06/boris-johnson-father-knighthood-opinion-couldnt-be-lower,3,0.11599999999999999,0.113,0.7709999999999999,0.2563,Guardian,2023-03-06,18
5,"Revealed: 1,000 super-emitting methane leaks risk triggering climate tipping points",https://www.theguardian.com/environment/2023/mar/06/revealed-1000-super-emitting-methane-leaks-risk-triggering-climate-tipping-points,4,0.07,0.092,0.838,-0.9971,Guardian,2023-03-06,18
6,Jeremy Hunt’s 2023 budget: five things to look out for,https://www.theguardian.com/uk-news/2023/mar/06/jeremy-hunt-2023-budget-energy-bills,5,0.136,0.09300000000000001,0.7709999999999999,0.9924,Guardian,2023-03-06,18
7,"No pain, plenty of gain: why taking it easy can be the key to getting fitter – and happier",https://www.theguardian.com/lifeandstyle/2023/mar/06/no-pain-plenty-of-gain-why-taking-it-easy-can-be-the-key-to-getting-fitter-and-happier,6,0.13,0.08900000000000001,0.78,0.9979,Guardian,2023-03-06,18
8,GB News broke Ofcom rules with presenter’s Covid vaccine claims,https://www.theguardian.com/media/2023/mar/06/gb-news-broke-ofcom-rules-presenter-covid-vaccine-claims-mark-steyn,7,0.04,0.047,0.912,-0.2023,Guardian,2023-03-06,18
9,UK weather: snow could cut off some rural areas as yellow warnings issued,https://www.theguardian.com/uk-news/2023/mar/06/uk-weather-snow-could-cut-off-rural-areas-yellow-warnings-met-office,8,0.042,0.129,0.83,-0.9848,Guardian,2023-03-06,18
10,Prisoner Charles Bronson tells parole hearing ‘I just want to go out and do my art’,https://www.theguardian.com/uk-news/2023/mar/06/prisoner-charles-bronson-tells-parole-hearing-i-just-want-to-go-out-and-do-my-art,9,0.043,0.19899999999999998,0.758,-0.9993,Guardian,2023-03-06,18
1,Controversial vitiligo skin cream may come to UK,https://www.bbc.co.uk/news/health-64809406,0,0.124,0.064,0.812,0.9979,BBC,2023-03-07,7
2,Crash pilot did not recall hearing radio - report,https://www.bbc.co.uk/news/world-australia-64870697,1,0.02,0.121,0.8590000000000001,-0.9916,BBC,2023-03-07,7
3,Law to stop small boats and Johnson 'to make dad a Sir',https://www.bbc.co.uk/news/blogs-the-papers-64870510,2,0.034,0.063,0.903,-0.9604,BBC,2023-03-07,7
4,Texts show Hancock backed funding threat to Tory MP,https://www.bbc.co.uk/news/uk-politics-64870505,3,0.052000000000000005,0.091,0.857,-0.9693,BBC,2023-03-07,7
5,Worker asks Elon Musk on Twitter: Have I been fired?,https://www.bbc.co.uk/news/technology-64871183,4,0.046,0.057,0.898,-0.8554,BBC,2023-03-07,7
6,Refugees plan pushes limits of law - government,https://www.bbc.co.uk/news/uk-politics-64871193,5,0.073,0.065,0.862,-0.2705,BBC,2023-03-07,7
7,Tributes to three killed in crash after night out,https://www.bbc.co.uk/news/uk-wales-64867187,6,0.105,0.099,0.7959999999999999,0.9558,BBC,2023-03-07,7
8,Stolen gator returned to Texas zoo after 20 years,https://www.bbc.co.uk/news/world-us-canada-64871497,7,0.01,0.053,0.937,-0.8290000000000001,BBC,2023-03-07,7
9,France braces for pension reform strikes,https://www.bbc.co.uk/news/world-europe-64870836,8,0.027999999999999997,0.095,0.877,-0.9654,BBC,2023-03-07,7
10,Dozens of bushfires as heat grips Australia's east,https://www.bbc.co.uk/news/world-australia-64870696,9,0.028999999999999998,0.113,0.858,-0.9702,BBC,2023-03-07,7
1,"Pictured: Three victims of horror Cardiff crash including 21-year-old beautician, son of ex-QPR footballer and star of Sky reality show - as two fight for their lives
",https://www.dailymail.co.uk/news/article-11825387/Pictured-Scene-three-young-revellers-died-two-left-fighting-lives.html,0,0.085,0.131,0.784,-0.9985,Daily Mail,2023-03-07,7
2,"Three people are found dead in hunt for five missing for 48 hours in South Wales after 'car crash': Two are rushed to hospital with serious injuries after police launched hunt for three women and two men who disappeared following night out 
",https://www.dailymail.co.uk/news/article-11824991/Three-people-dead-hunt-five-missing-people-South-Wales-car-crash.html,1,0.043,0.094,0.863,-0.9957,Daily Mail,2023-03-07,7
3,"'He is the rudest man I've ever had to interview - I didn't smack him though': Richard Madeley slams Chris Rock's behaviour as Susanna Reid calls him a 'thoroughly unpleasant piece of work' 
",https://www.dailymail.co.uk/tvshowbiz/article-11826133/Richard-Madeley-slams-Chris-Rocks-behaviour.html,2,0.157,0.09300000000000001,0.75,0.9962,Daily Mail,2023-03-07,7
4,"EXCLUSIVE 'I cheated death': Neil 'Razor' Ruddock sheds seven stone after being inspired to have gastric sleeve surgery by James Argent when his weight ballooned to 27 stone
",https://www.dailymail.co.uk/tvshowbiz/article-11825593/Neil-Ruddock-sheds-seven-stone-inspired-gastric-sleeve-surgery-James-Argent.html,3,0.092,0.066,0.841,0.953,Daily Mail,2023-03-07,7
5,"Snow sweeps into northern England from Scotland as maps reveal more areas set to be blanketed - and it could be even chillier tonight with temperatures expected to plummet to -15C in some areas amid fears cold snap could last a fortnight
",https://www.dailymail.co.uk/news/article-11827103/Ice-tonight-Britain-braces-brutal-15C-snap-coldest-night-year-far.html,4,0.07200000000000001,0.079,0.848,0.601,Daily Mail,2023-03-07,7
6,"EXCLUSIVE: 'Police took two days to find my daughter as she lay trapped beside her dead friends': Officers face probe over why it took 48 hours to find five revellers in car crash - after telling mother her daughter was 'probably out partying'
",https://www.dailymail.co.uk/news/article-11826329/Police-took-days-daughter-lay-dead-friends-says-mother-Wales-crash-victim.html,5,0.087,0.132,0.7809999999999999,-0.9988,Daily Mail,2023-03-07,7
7,"PICTURED: Jonnie Irwin looks in high spirits as he makes comeback to A Place In The Sun - amid his battle with terminal lung cancer
",https://www.dailymail.co.uk/tvshowbiz/article-11825393/Jonnie-Irwin-makes-comeback-Place-Sun-amid-battle-terminal-lung-cancer.html,6,0.135,0.040999999999999995,0.8240000000000001,0.997,Daily Mail,2023-03-07,7
8,"'Britain's most violent prisoner' Charles Bronson tells parole board he 'greased up with Lurpak' before jail fight, won £1,500 on a bet and tells panel, 'There's nothing better than wrapping a governor up like a Christmas turkey' 
",https://www.dailymail.co.uk/news/article-11825065/Notorious-prisoner-Charles-Bronson-make-latest-bid-freedom-parole-hearing-today.html,7,0.071,0.159,0.7709999999999999,-0.9999,Daily Mail,2023-03-07,7
9,"End of the hated 8am scramble for a GP appointment: Patients must now get a slot or be referred elsewhere the FIRST time they call 
",https://www.dailymail.co.uk/health/article-11827209/Patients-GP-slot-referred-time-call.html,8,0.136,0.054000000000000006,0.81,0.997,Daily Mail,2023-03-07,7
10,"Man is arrested at scene of horror South Wales car crash that left three dead 'after being told to get away from the area'
",https://www.dailymail.co.uk/news/article-11826353/South-Wales-car-crash-Film-TV-extra-arrested-scene-horror-smash-killed-three.html,9,0.032,0.129,0.838,-0.993,Daily Mail,2023-03-07,7
1,UK shoppers slash spending as price rises and energy bills bite,https://www.theguardian.com/business/2023/mar/07/uk-shoppers-cut-spending-price-rises-energy-bills-brc-budget,0,0.07200000000000001,0.06,0.868,0.8539,Guardian,2023-03-07,7
2,China foreign minister warns of potential for conflict with US and hails Russia ties,https://www.theguardian.com/world/2023/mar/07/china-foreign-minister-warns-of-potential-for-conflict-with-us-and-hails-russia-ties,1,0.087,0.114,0.7979999999999999,-0.978,Guardian,2023-03-07,7
3,‘Sushi terrorism’ sees Japan’s conveyor belt restaurants grind to a halt,https://www.theguardian.com/world/2023/mar/07/sushi-terrorism-sees-japans-conveyor-belt-restaurants-grind-to-a-halt,2,0.079,0.05,0.871,0.9444,Guardian,2023-03-07,7
4,Cardiff car crash: police criticised after wreck went unseen for up to 46 hours,https://www.theguardian.com/uk-news/2023/mar/06/wales-car-crash-a48-three-people-found-dead-st-mellons-cardiff,3,0.091,0.109,0.799,-0.9131,Guardian,2023-03-07,7
5,‘Giant’ rats spark fears of cliff erosion in Tenby,https://www.theguardian.com/uk-news/2023/mar/06/giant-rats-spark-fears-of-cliff-erosion-in-tenby,4,0.095,0.071,0.8340000000000001,0.9437,Guardian,2023-03-07,7
6,Tory MPs trying to score points over Sue Gray hiring only net own goals,https://www.theguardian.com/politics/2023/mar/06/tory-mps-trying-to-score-points-over-sue-gray-hiring-only-net-own-goals,5,0.107,0.10400000000000001,0.789,0.7498,Guardian,2023-03-07,7
7,Tory MPs launch bid to stop Labour’s ‘unprecedented’ hiring of Sue Gray,https://www.theguardian.com/politics/2023/mar/06/tory-mps-launch-bid-to-stop-labours-unprecedented-hiring-of-sue-gray,6,0.075,0.067,0.858,0.5589999999999999,Guardian,2023-03-07,7
8,The Last of Us recap episode eight – TV just got a whole lot more abhorrent,https://www.theguardian.com/tv-and-radio/2023/mar/06/the-last-of-us-recap-episode-eight-tv-just-got-a-whole-lot-more-abhorrent,7,0.076,0.12300000000000001,0.8009999999999999,-0.9972,Guardian,2023-03-07,7
9,George Michael: Outed review – this will make you love him even more than you did as a screaming teen,https://www.theguardian.com/tv-and-radio/2023/mar/06/george-michael-outed-review-this-will-make-you-love-him-even-more-than-you-did-as-a-screaming-teen,8,0.085,0.10099999999999999,0.8140000000000001,-0.9398,Guardian,2023-03-07,7
10,Jeremy Hunt’s 2023 budget: five things to look out for,https://www.theguardian.com/uk-news/2023/mar/06/jeremy-hunt-2023-budget-energy-bills,9,0.136,0.09300000000000001,0.7709999999999999,0.9924,Guardian,2023-03-07,7
1,Ukraine names smoking soldier shot by Russians,https://www.bbc.co.uk/news/world-europe-64872623,0,0.068,0.198,0.7340000000000001,-0.9985,BBC,2023-03-07,13
2,Judi Dench backs call to overturn blue badge ban,https://www.bbc.co.uk/news/uk-england-york-north-yorkshire-64872475,1,0.155,0.092,0.753,0.9735,BBC,2023-03-07,13
3,"Former MP cannot pay proceeds of crime, court told",https://www.bbc.co.uk/news/uk-scotland-64876280,2,0.019,0.081,0.9,-0.9348,BBC,2023-03-07,13
4,Foxtons says renters have to move out of London,https://www.bbc.co.uk/news/business-64873369,3,0.085,0.048,0.867,0.9809,BBC,2023-03-07,13
5,Mum angry over delay in finding crash victims,https://www.bbc.co.uk/news/uk-wales-64872517,4,0.034,0.11699999999999999,0.8490000000000001,-0.9981,BBC,2023-03-07,13
6,Greggs to open 150 shops and extend opening hours,https://www.bbc.co.uk/news/business-64874761,5,0.086,0.033,0.8809999999999999,0.976,BBC,2023-03-07,13
7,Kidnapped Americans were in Mexico for tummy tuck,https://www.bbc.co.uk/news/world-us-canada-64875131,6,0.034,0.064,0.903,-0.8705,BBC,2023-03-07,13
8,"Olivia killer was in ruthless pursuit, jury told",https://www.bbc.co.uk/news/uk-england-merseyside-64873789,7,0.019,0.075,0.9059999999999999,-0.9794,BBC,2023-03-07,13
9,Fans rush to buy tickets for Eurovision 2023,https://www.bbc.co.uk/news/entertainment-arts-64784428,8,0.064,0.022000000000000002,0.9129999999999999,0.9899,BBC,2023-03-07,13
10,Snow causes travel problems and school closures,https://www.bbc.co.uk/news/uk-scotland-64867408,9,0.015,0.099,0.8859999999999999,-0.9623,BBC,2023-03-07,13
1,"Pictured: Three victims of horror Cardiff crash including 21-year-old beautician, son of ex-QPR footballer and star of Sky reality show - as two fight for their lives
",https://www.dailymail.co.uk/news/article-11825387/Pictured-Scene-three-young-revellers-died-two-left-fighting-lives.html,0,0.085,0.131,0.784,-0.9985,Daily Mail,2023-03-07,13
2,"'He is the rudest man I've ever had to interview - I didn't smack him though': Richard Madeley slams Chris Rock's behaviour as Susanna Reid calls him a 'thoroughly unpleasant piece of work' 
",https://www.dailymail.co.uk/tvshowbiz/article-11826133/Richard-Madeley-slams-Chris-Rocks-behaviour.html,1,0.145,0.08199999999999999,0.773,0.9956,Daily Mail,2023-03-07,13
3,"Snow sweeps into northern England from Scotland as maps reveal more areas set to be blanketed - and it could be even chillier tonight with temperatures expected to plummet to -15C in some areas amid fears cold snap could last a fortnight
",https://www.dailymail.co.uk/news/article-11827103/Ice-tonight-Britain-braces-brutal-15C-snap-coldest-night-year-far.html,2,0.07200000000000001,0.079,0.848,0.601,Daily Mail,2023-03-07,13
4,"EXCLUSIVE 'I cheated death': Neil 'Razor' Ruddock sheds seven stone after being inspired to have gastric sleeve surgery by James Argent when his weight ballooned to 27 stone
",https://www.dailymail.co.uk/tvshowbiz/article-11825593/Neil-Ruddock-sheds-seven-stone-inspired-gastric-sleeve-surgery-James-Argent.html,3,0.092,0.066,0.841,0.953,Daily Mail,2023-03-07,13
5,"EXCLUSIVE Revealed: Internet 'pranksters' who invaded Asda store during Covid and attacked woman while wearing Spider-Man, Ali G and Red Riding Hood fancy dress costumes are martial arts amateurs who answered social media ad 'to cause chaos for likes' 
",https://www.dailymail.co.uk/news/article-11827289/Internet-prankster-kicked-Asda-worker-dressed-Spider-Man-black-belt-martial-arts-champion.html,4,0.08,0.175,0.745,-0.9991,Daily Mail,2023-03-07,13
6,"'Our search party found the girls before the police... that speaks volumes': Questions grow over why it took cops almost 48 hours to find five young revellers involved in Cardiff car crash which left three dead
",https://www.dailymail.co.uk/news/article-11828185/Questions-grow-took-officers-48-hours-five-young-revellers-involved-crash.html,5,0.08900000000000001,0.115,0.7959999999999999,-0.9965,Daily Mail,2023-03-07,13
7,"End of the hated 8am scramble for a GP appointment: Patients must now get a slot or be referred elsewhere the FIRST time they call 
",https://www.dailymail.co.uk/health/article-11827209/Patients-GP-slot-referred-time-call.html,6,0.111,0.049,0.84,0.9908,Daily Mail,2023-03-07,13
8,"EXCLUSIVE: 'Police took two days to find my daughter as she lay trapped beside her dead friends': Officers face probe over why it took 48 hours to find five revellers in car crash - after telling mother her daughter was 'probably out partying'
",https://www.dailymail.co.uk/news/article-11826329/Police-took-days-daughter-lay-dead-friends-says-mother-Wales-crash-victim.html,7,0.087,0.132,0.7809999999999999,-0.9988,Daily Mail,2023-03-07,13
9,"Man is arrested at scene of horror South Wales car crash that left three dead 'after being told to get away from the area'
",https://www.dailymail.co.uk/news/article-11826353/South-Wales-car-crash-Film-TV-extra-arrested-scene-horror-smash-killed-three.html,8,0.032,0.129,0.838,-0.993,Daily Mail,2023-03-07,13
10,"'I know you're safe up there with our beautiful sister': Sister of 21-year-old killed in crash shares heartbreaking tribute - eight years after their older sibling died in drug-drive smash
",https://www.dailymail.co.uk/news/article-11827185/I-know-youre-safe-beautiful-sister-Sister-21-year-old-killed-crash-says.html,9,0.131,0.154,0.716,-0.9881,Daily Mail,2023-03-07,13
1,"Woman, 91, loses account and pension after Barclays declares her dead",https://www.theguardian.com/money/2023/mar/07/barclays-dead-pension-bank-account-phone-energy,0,0.062,0.07400000000000001,0.863,-0.4019,Guardian,2023-03-07,13
2,"Illegal UK arrivals will be swiftly removed under new law, Braverman says, as Labour argues bill makes situation worse – live",https://www.theguardian.com/politics/live/2023/mar/07/small-boat-crossings-immigration-rishi-sunak-suella-braverman-mps-details-uk-politics-latest,1,0.054000000000000006,0.157,0.7879999999999999,-0.9982,Guardian,2023-03-07,13
3,Where are my foul excretions? What happened when I boiled my wooden spoons,https://www.theguardian.com/society/2023/mar/07/where-are-my-foul-excretions-what-happened-when-i-boiled-my-wooden-spoons,2,0.033,0.053,0.914,-0.8798,Guardian,2023-03-07,13
4,Snow blankets parts of UK as Britons brace for coldest night of 2023,https://www.theguardian.com/uk-news/2023/mar/07/uk-weather-coldest-night-snow-ice-warnings-forecast,3,0.021,0.075,0.904,-0.9839,Guardian,2023-03-07,13
5,UK house prices rise as mortgage rate cuts lift confidence,https://www.theguardian.com/money/2023/mar/07/uk-house-prices-rise-mortgage-rate-cuts-halifax,4,0.077,0.035,0.888,0.9778,Guardian,2023-03-07,13
6,‘Sushi terrorism’ sees Japan’s conveyor belt restaurants grind to a halt,https://www.theguardian.com/world/2023/mar/07/sushi-terrorism-sees-japans-conveyor-belt-restaurants-grind-to-a-halt,5,0.061,0.038,0.9009999999999999,0.8651,Guardian,2023-03-07,13
7,Russia-Ukraine war live: Belarus claims to have detained sabotage group who targeted Russian planes near Minsk,https://www.theguardian.com/world/live/2023/mar/07/russia-ukraine-war-live-news-russian-invasion-zelenskiy-vows-to-defend-bakhmut-latest-update,6,0.043,0.1,0.857,-0.9985,Guardian,2023-03-07,13
8,"Laura Bates: ‘For teenage girls, escaping harassment, revenge porn and deepfake porn is impossible’",https://www.theguardian.com/society/2023/mar/07/laura-bates-for-teenage-girls-escaping-harassment-revenge-porn-and-deepfake-porn-is-impossible,7,0.077,0.121,0.802,-0.9992,Guardian,2023-03-07,13
9,David Squires on … Liverpool 7-0 Manchester United,https://www.theguardian.com/football/ng-interactive/2023/mar/07/david-squires-on-liverpool-7-0-manchester-united,8,0.0,0.0,0.0,0.0,Guardian,2023-03-07,13
10,Uefa to refund Liverpool fans for tickets after Champions League final chaos,https://www.theguardian.com/football/2023/mar/07/uefa-to-refund-liverpool-fans-for-tickets-after-champions-league-final-chaos,9,0.08800000000000001,0.081,0.831,-0.2323,Guardian,2023-03-07,13
1,Ukraine names smoking soldier shot by Russians,https://www.bbc.co.uk/news/world-europe-64872623,0,0.068,0.198,0.7340000000000001,-0.9985,BBC,2023-03-07,13
2,Judi Dench backs call to overturn blue badge ban,https://www.bbc.co.uk/news/uk-england-york-north-yorkshire-64872475,1,0.155,0.092,0.753,0.9735,BBC,2023-03-07,13
3,"Former MP cannot pay proceeds of crime, court told",https://www.bbc.co.uk/news/uk-scotland-64876280,2,0.019,0.081,0.9,-0.9348,BBC,2023-03-07,13
4,Foxtons says renters have to move out of London,https://www.bbc.co.uk/news/business-64873369,3,0.085,0.048,0.867,0.9809,BBC,2023-03-07,13
5,Mum angry over delay in finding crash victims,https://www.bbc.co.uk/news/uk-wales-64872517,4,0.034,0.11699999999999999,0.8490000000000001,-0.9981,BBC,2023-03-07,13
6,Greggs to open 150 shops and extend opening hours,https://www.bbc.co.uk/news/business-64874761,5,0.086,0.033,0.8809999999999999,0.976,BBC,2023-03-07,13
7,Kidnapped Americans were in Mexico for tummy tuck,https://www.bbc.co.uk/news/world-us-canada-64875131,6,0.034,0.064,0.903,-0.8705,BBC,2023-03-07,13
8,"Olivia killer was in ruthless pursuit, jury told",https://www.bbc.co.uk/news/uk-england-merseyside-64873789,7,0.019,0.075,0.9059999999999999,-0.9794,BBC,2023-03-07,13
9,Fans rush to buy tickets for Eurovision 2023,https://www.bbc.co.uk/news/entertainment-arts-64784428,8,0.064,0.022000000000000002,0.9129999999999999,0.9899,BBC,2023-03-07,13
10,Snow causes travel problems and school closures,https://www.bbc.co.uk/news/uk-scotland-64867408,9,0.015,0.099,0.8859999999999999,-0.9623,BBC,2023-03-07,13
1,"Pictured: Three victims of horror Cardiff crash including 21-year-old beautician, son of ex-QPR footballer and star of Sky reality show - as two fight for their lives
",https://www.dailymail.co.uk/news/article-11825387/Pictured-Scene-three-young-revellers-died-two-left-fighting-lives.html,0,0.085,0.131,0.784,-0.9985,Daily Mail,2023-03-07,13
2,"'He is the rudest man I've ever had to interview - I didn't smack him though': Richard Madeley slams Chris Rock's behaviour as Susanna Reid calls him a 'thoroughly unpleasant piece of work' 
",https://www.dailymail.co.uk/tvshowbiz/article-11826133/Richard-Madeley-slams-Chris-Rocks-behaviour.html,1,0.145,0.08199999999999999,0.773,0.9956,Daily Mail,2023-03-07,13
3,"Snow sweeps into northern England from Scotland as maps reveal more areas set to be blanketed - and it could be even chillier tonight with temperatures expected to plummet to -15C in some areas amid fears cold snap could last a fortnight
",https://www.dailymail.co.uk/news/article-11827103/Ice-tonight-Britain-braces-brutal-15C-snap-coldest-night-year-far.html,2,0.07200000000000001,0.079,0.848,0.601,Daily Mail,2023-03-07,13
4,"EXCLUSIVE 'I cheated death': Neil 'Razor' Ruddock sheds seven stone after being inspired to have gastric sleeve surgery by James Argent when his weight ballooned to 27 stone
",https://www.dailymail.co.uk/tvshowbiz/article-11825593/Neil-Ruddock-sheds-seven-stone-inspired-gastric-sleeve-surgery-James-Argent.html,3,0.092,0.066,0.841,0.953,Daily Mail,2023-03-07,13
5,"EXCLUSIVE Revealed: Internet 'pranksters' who invaded Asda store during Covid and attacked woman while wearing Spider-Man, Ali G and Red Riding Hood fancy dress costumes are martial arts amateurs who answered social media ad 'to cause chaos for likes' 
",https://www.dailymail.co.uk/news/article-11827289/Internet-prankster-kicked-Asda-worker-dressed-Spider-Man-black-belt-martial-arts-champion.html,4,0.08,0.175,0.745,-0.9991,Daily Mail,2023-03-07,13
6,"'Our search party found the girls before the police... that speaks volumes': Questions grow over why it took cops almost 48 hours to find five young revellers involved in Cardiff car crash which left three dead
",https://www.dailymail.co.uk/news/article-11828185/Questions-grow-took-officers-48-hours-five-young-revellers-involved-crash.html,5,0.08900000000000001,0.115,0.7959999999999999,-0.9965,Daily Mail,2023-03-07,13
7,"End of the hated 8am scramble for a GP appointment: Patients must now get a slot or be referred elsewhere the FIRST time they call 
",https://www.dailymail.co.uk/health/article-11827209/Patients-GP-slot-referred-time-call.html,6,0.111,0.049,0.84,0.9908,Daily Mail,2023-03-07,13
8,"EXCLUSIVE: 'Police took two days to find my daughter as she lay trapped beside her dead friends': Officers face probe over why it took 48 hours to find five revellers in car crash - after telling mother her daughter was 'probably out partying'
",https://www.dailymail.co.uk/news/article-11826329/Police-took-days-daughter-lay-dead-friends-says-mother-Wales-crash-victim.html,7,0.087,0.132,0.7809999999999999,-0.9988,Daily Mail,2023-03-07,13
9,"Man is arrested at scene of horror South Wales car crash that left three dead 'after being told to get away from the area'
",https://www.dailymail.co.uk/news/article-11826353/South-Wales-car-crash-Film-TV-extra-arrested-scene-horror-smash-killed-three.html,8,0.032,0.129,0.838,-0.993,Daily Mail,2023-03-07,13
10,"'I know you're safe up there with our beautiful sister': Sister of 21-year-old killed in crash shares heartbreaking tribute - eight years after their older sibling died in drug-drive smash
",https://www.dailymail.co.uk/news/article-11827185/I-know-youre-safe-beautiful-sister-Sister-21-year-old-killed-crash-says.html,9,0.131,0.154,0.716,-0.9881,Daily Mail,2023-03-07,13
