rank,story,url,index,pos,neg,neu,comp,source,date,hour
1,"Is THIS the moment that gave Taylor Swift Bad Blood? Eras Tour fan was stopped from JUMPING by guard who was a 'pain in the a** all night' at Philly show - before HE was 'rushed out by security'
",https://www.dailymail.co.uk/tvshowbiz/article-12081669/Taylor-Swift-YELLs-onstage-security-guard-audience-seemingly-treatment-fan.html,0,0.109,0.073,0.818,0.9967,Daily Mail,2023-05-15,8
2,"Harry and Meghan step out for Michelin star sushi at their local restaurant in Montecito - one week after he dashed back to California from dad Charles' coronation for son Archie's 4th birthday 
",https://www.dailymail.co.uk/news/article-12082625/Harry-Meghan-step-Michelin-star-sushi-local-restaurant-Montecito.html,1,0.08,0.01,0.911,0.9892,Daily Mail,2023-05-15,8
3,"Kanye West and his voluptuous 'wife' Bianca Censori hold hands as they leave West Hollywood hotspot Cecconi's
",https://www.dailymail.co.uk/tvshowbiz/article-12081449/Kanye-West-voluptuous-wife-Bianca-Censori-hold-hands-leave-hotspot-Cecconis.html,2,0.126,0.021,0.853,0.9915,Daily Mail,2023-05-15,8
4,"Michael Douglas, 78, and Catherine Zeta-Jones, 53, make a stylish pair as they're joined by daughter Carys, 20, at a wedding after party in Venice
",https://www.dailymail.co.uk/tvshowbiz/article-12081415/Michael-Douglas-Catherine-Zeta-Jones-attend-party-wedding-Chloe-Stroll-Scotty-James.html,3,0.112,0.008,0.881,0.9938,Daily Mail,2023-05-15,8
5,"'This should never have happened': Wild brawls break out at Democratic endorsing convention in Minnesota as more than 40 supporters of rival candidates clash on stage 
",https://www.dailymail.co.uk/news/article-12081373/Wild-brawls-break-Democratic-endorsing-convention-Minnesota-supporters-clash-stage.html,4,0.095,0.099,0.806,-0.5187,Daily Mail,2023-05-15,8
6,"'It's upsetting how they're treating Americans': Florida couple's wedding in turmoil as New York hotel suddenly cancels THIRTY rooms they booked for their guests to make way for migrants 
",https://www.dailymail.co.uk/news/article-12081485/Florida-couples-wedding-turmoil-New-York-hotel-suddenly-cancels-bookings-house-migrants.html,5,0.025,0.064,0.91,-0.9874,Daily Mail,2023-05-15,8
7,"Cash App founder Bob Lee, 43, 'attended underground sex and drug parties with married sister of his accused killer' in the weeks before his murder in San Francisco 
",https://www.dailymail.co.uk/news/article-12082583/Cash-App-founder-attended-sex-parties-sister-accused-killer.html,6,0.105,0.16,0.735,-0.9979,Daily Mail,2023-05-15,8
8,"She's fallen out with Meghan, but what did Kate think of Harry's exes? Princess 'wanted him to marry Cressida Bonas' but had an awkward relationship with Chelsy Davy 
",https://www.dailymail.co.uk/femail/article-12059695/What-did-Princess-Wales-really-think-Harrys-exes.html,7,0.114,0.034,0.852,0.9993,Daily Mail,2023-05-15,8
9,"Jennifer Lopez and Ben Affleck take both of their moms out for Mother's Day celebration with their blended family
",https://www.dailymail.co.uk/tvshowbiz/article-12083201/Jennifer-Lopez-Ben-Affleck-moms-Mothers-Day-celebration.html,8,0.104,0.043,0.853,0.9917,Daily Mail,2023-05-15,8
10,"Shakira's dodged a bullet! How 'controlling' Tom Cruise made Katie Holmes give birth in silence and is estranged from daughter Suri 
",https://www.dailymail.co.uk/femail/article-12072749/Shakiras-dodged-bullet-controversies-Tom-Cruises-former-relationships.html,9,0.074,0.056,0.87,0.9825,Daily Mail,2023-05-15,8
1,Ministers call for immigration and UK food prices to increase,https://www.theguardian.com/environment/2023/may/15/ministers-call-for-immigration-and-uk-food-prices-to-increase,0,0.112,0.041,0.847,0.9958,Guardian,2023-05-15,8
2,‘It turns the stomach’ – the biggest mistake from the 2023 TV Baftas,https://www.theguardian.com/tv-and-radio/2023/may/15/it-turns-the-stomach-the-biggest-mistake-from-the-2023-tv-baftas,1,0.222,0.056,0.722,0.9994,Guardian,2023-05-15,8
3,Suella Braverman to rebuff cabinet calls for easing of visa rules,https://www.theguardian.com/politics/2023/may/14/suella-braverman-to-rebuff-cabinet-calls-for-easing-of-visa-rules,2,0.1,0.061,0.839,0.9914,Guardian,2023-05-15,8
4,"‘I’d tell myself: you’re a loser, a failure, ugly …’ Matilda’s Mara Wilson on the price of fame",https://www.theguardian.com/film/2023/may/15/matildas-mara-wilson-on-the-price-of-fame,3,0.117,0.106,0.776,0.9849,Guardian,2023-05-15,8
